K,normalized_K,inverse_K,alpha,seed
151,11.729674106707582,0.0002727178179308604,0.3,401
59,4.58311769732283,0.006253598078823452,0.3,402
47,3.6509581656639494,0.013344751098165238,0.3,403
156,12.11807391156545,0.00024465532710304065,0.3,404
61,4.738477619265977,0.005595907851524272,0.3,405
97,7.5349562142426185,0.0011923329801384107,0.3,406
59,4.58311769732283,0.006253598078823452,0.3,407
97,7.5349562142426185,0.0011923329801384107,0.3,408
93,7.2242363703563255,0.0013720191586281086,0.3,409
140,10.875194536020274,0.0003509214259391723,0.3,410
69,5.359917307038564,0.003710846886045888,0.3,411
132,10.253754848247688,0.0004269629924593782,0.3,412
123,9.554635199503528,0.0005402809226801063,0.3,413
59,4.58311769732283,0.006253598078823452,0.3,414
115,8.93319551173094,0.000676047487598866,0.3,415
84,6.525116721612164,0.001926219244328931,0.3,416
40,3.1071984388629357,0.022843888579788002,0.3,417
89,6.913516526470032,0.001588558876032669,0.3,418
9,0.6991196487441605,3.2973241205016186,0.3,419
68,5.2822373460669905,0.003895892474602174,0.3,420
60,4.6607976582944035,0.005912881422789758,0.3,421
28,2.175038907204055,0.07500839969118409,0.3,422
119,9.243915355617233,0.0006032261124789285,0.3,423
15,1.1651994145736009,0.60071130820478,0.3,424
87,6.758156604526885,0.001713585698648385,0.3,425
59,4.58311769732283,0.006253598078823452,0.3,426
107,8.311755823958352,0.0008597207562688625,0.3,427
107,8.311755823958352,0.0008597207562688625,0.3,428
68,5.2822373460669905,0.003895892474602174,0.3,429
116,9.010875472702514,0.0006568154705946015,0.3,430
77,5.981356994811151,0.002574349972076794,0.3,431
63,4.893837541209123,0.005025371504351538,0.3,432
74,5.748317111896431,0.002938986595097844,0.3,433
14,1.0875194536020274,0.7560372935188074,0.3,434
25,1.9419990242893348,0.10943846058730855,0.3,435
104,8.078715941043633,0.0009452039763984577,0.3,436
79,6.136716916754298,0.0023634497153166936,0.3,437
157,12.195753872537022,0.0002394994367050882,0.3,438
86,6.680476643555312,0.001780909429985789,0.3,439
11,0.8544795706873073,1.689122137575541,0.3,440
101,7.8456760581289124,0.0010420744753700934,0.3,441
58,4.505437736351257,0.006620285098389965,0.3,442
42,3.262558360806082,0.019415073381140933,0.3,443
42,3.262558360806082,0.019415073381140933,0.3,444
22,1.7089591413746146,0.16758214113063669,0.3,445
74,5.748317111896431,0.002938986595097844,0.3,446
75,5.825997072868004,0.002810384833177332,0.3,447
60,4.6607976582944035,0.005912881422789758,0.3,448
13,1.0098394926304541,0.9678888718320209,0.3,449
93,7.2242363703563255,0.0013720191586281086,0.3,450
121,9.39927527756038,0.000570626719129553,0.3,451
38,2.9518385169197887,0.02710345664724279,0.3,452
29,2.2527188681756285,0.06672829241413494,0.3,453
63,4.893837541209123,0.005025371504351538,0.3,454
112,8.70015562881622,0.0007383176694519603,0.3,455
82,6.369756799669018,0.0020873270267047347,0.3,456
37,2.8741585559482155,0.029623128612181075,0.3,457
105,8.156395902015205,0.0009155294961220824,0.3,458
30,2.3303988291472018,0.05959811016084131,0.3,459
115,8.93319551173094,0.000676047487598866,0.3,460
60,4.6607976582944035,0.005912881422789758,0.3,461
71,5.51527722898171,0.003373718494643336,0.3,462
42,3.262558360806082,0.019415073381140933,0.3,463
126,9.787675082418247,0.0004985800007836652,0.3,464
43,3.340238321777656,0.017950442230363003,0.3,465
48,3.7286381266355226,0.012440348491507163,0.3,466
69,5.359917307038564,0.003710846886045888,0.3,467
46,3.573278204692376,0.014336525078071007,0.3,468
22,1.7089591413746146,0.16758214113063669,0.3,469
80,6.214396877725871,0.002266400797662488,0.3,470
117,9.088555433674086,0.0006382886646113645,0.3,471
82,6.369756799669018,0.0020873270267047347,0.3,472
10,0.7767996097157339,2.3207944168063888,0.3,473
47,3.6509581656639494,0.013344751098165238,0.3,474
35,2.7187986340050685,0.035651394604417457,0.3,475
97,7.5349562142426185,0.0011923329801384107,0.3,476
62,4.81615758023755,0.005300673317789519,0.3,477
89,6.913516526470032,0.001588558876032669,0.3,478
104,8.078715941043633,0.0009452039763984577,0.3,479
93,7.2242363703563255,0.0013720191586281086,0.3,480
53,4.11703793149339,0.008940952184894786,0.3,481
109,8.4671157459015,0.0008082548969411847,0.3,482
114,8.855515550759366,0.0006960180459347941,0.3,483
33,2.563438712061922,0.04337673621641649,0.3,484
81,6.292076838697445,0.002174469271128354,0.3,485
65,5.049197463152271,0.004528198767769069,0.3,486
35,2.7187986340050685,0.035651394604417457,0.3,487
118,9.16623539464566,0.000620435510556916,0.3,488
17,1.3205593365167476,0.395798004002463,0.3,489
78,6.059036955782725,0.0024659711726882933,0.3,490
22,1.7089591413746146,0.16758214113063669,0.3,491
137,10.642154653105555,0.00037719689912476997,0.3,492
104,8.078715941043633,0.0009452039763984577,0.3,493
88,6.835836565498458,0.0016495333374761136,0.3,494
140,10.875194536020274,0.0003509214259391723,0.3,495
26,2.0196789852609083,0.09602673833340399,0.3,496
147,11.418954262821288,0.0002982489260454478,0.3,497
34,2.6411186730334952,0.03926813549502645,0.3,498
52,4.0393579705218166,0.00952705909047003,0.3,499
71,5.51527722898171,0.003373718494643336,0.3,500
78,6.059036955782725,0.0024659711726882933,0.3,501
54,4.194717892464963,0.008400867563211267,0.3,502
136,10.564474692133981,0.0003865214882836551,0.3,503
125,9.709995121446674,0.0005119999999999997,0.3,504
83,6.447436760640591,0.002004670639608852,0.3,505
96,7.457276253271045,0.001234238892641842,0.3,506
