K,normalized_K,inverse_K,alpha,thetas,weights,seed
138,10.719834614077127,0.0003681626406626349,0.3,[10],[1],45
155,12.040393950593876,0.0002499564475742621,0.3,"[0, 3, 10]","[1, 1, 1]",45
13,1.0098394926304541,0.9678888718320209,0.3,[0],[1],46
76,5.903677033839577,0.002689003474612981,0.3,[3],[1],46
140,10.875194536020274,0.0003509214259391723,0.3,[10],[1],46
12,0.9321595316588807,1.2638606260652467,0.3,"[0, 3, 10]","[1, 1, 1]",46
45,3.4955982437208024,0.015426294747174189,0.3,[0],[1],47
104,8.078715941043633,0.0009452039763984577,0.3,[3],[1],47
199,15.458312233343104,0.00010867419110861507,0.3,[10],[1],47
81,6.292076838697445,0.002174469271128354,0.3,"[0, 3, 10]","[1, 1, 1]",47
4,0.31071984388629353,49.21566601151847,0.3,[0],[1],48
67,5.204557385095417,0.004093115458002039,0.3,[3],[1],48
154,11.962713989622301,0.000255407865863063,0.3,[10],[1],48
154,11.962713989622301,0.000255407865863063,0.3,"[0, 3, 10]","[1, 1, 1]",48
8,0.6214396877725871,4.882812499999998,0.3,[0],[1],49
92,7.146556409384752,0.0014223634369061493,0.3,[3],[1],49
147,11.418954262821288,0.0002982489260454478,0.3,[10],[1],49
151,11.729674106707582,0.0002727178179308604,0.3,"[0, 3, 10]","[1, 1, 1]",49
16,1.2428793755451741,0.48443635619146697,0.3,[0],[1],50
43,3.340238321777656,0.017950442230363003,0.3,[3],[1],50
172,13.360953287110624,0.0001766885939137205,0.3,[10],[1],50
16,1.2428793755451741,0.48443635619146697,0.3,"[0, 3, 10]","[1, 1, 1]",50
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],51
74,5.748317111896431,0.002938986595097844,0.3,[3],[1],51
167,12.972553482252756,0.00019494634652100366,0.3,[10],[1],51
9,0.6991196487441605,3.2973241205016186,0.3,"[0, 3, 10]","[1, 1, 1]",51
12,0.9321595316588807,1.2638606260652467,0.3,[0],[1],52
99,7.690316136185766,0.0011139166333402168,0.3,[3],[1],52
159,12.351113794480169,0.00022960407410469407,0.3,[10],[1],52
117,9.088555433674086,0.0006382886646113645,0.3,"[0, 3, 10]","[1, 1, 1]",52
20,1.5535992194314678,0.23025196866502406,0.3,[0],[1],53
95,7.379596292299472,0.0012780798465341003,0.3,[3],[1],53
142,11.03055445796342,0.0003347152679650876,0.3,[10],[1],53
150,11.651994145736008,0.000278825490038823,0.3,"[0, 3, 10]","[1, 1, 1]",53
1,0.07767996097157338,5000.0,0.3,[0],[1],54
76,5.903677033839577,0.002689003474612981,0.3,[3],[1],54
193,14.992232467513665,0.00012034987429069696,0.3,[10],[1],54
183,14.21543285779793,0.00014370317774376262,0.3,"[0, 3, 10]","[1, 1, 1]",54
26,2.0196789852609083,0.09602673833340399,0.3,[0],[1],55
50,3.8839980485786696,0.01085767046637962,0.3,[3],[1],55
168,13.050233443224329,0.00019110515342307097,0.3,[10],[1],55
25,1.9419990242893348,0.10943846058730855,0.3,"[0, 3, 10]","[1, 1, 1]",55
14,1.0875194536020274,0.7560372935188074,0.3,[0],[1],56
64,4.9715175021806965,0.0047683715820312465,0.3,[3],[1],56
195,15.147592389456811,0.00011628435807901239,0.3,[10],[1],56
