K,normalized_K,inverse_K,alpha,seed
47,1.829813623138015,0.1334475109816524,0.3,120
423,16.468322608242136,8.80039393561414e-05,0.3,121
178,6.929932445075887,0.0015760500193297995,0.3,122
347,13.50947504742322,0.0001702962514345065,0.3,123
110,4.282542522237907,0.007840210452378777,0.3,124
141,5.489440869414046,0.003426938380487363,0.3,125
127,4.944390002947403,0.00485613704524604,0.3,126
200,7.7864409495234685,0.0010687349666729346,0.3,127
306,11.913254652770908,0.000258959540669753,0.3,128
371,14.443847961366034,0.00013626687789765866,0.3,129
338,13.159085204694662,0.0001858864228624541,0.3,130
202,7.8643053590187035,0.00103386882401981,0.3,131
278,10.823152919837622,0.00035657756746677524,0.3,132
430,16.74084804147546,8.331857221486416e-05,0.3,133
150,5.839830712142602,0.0027882549003882305,0.3,134
78,3.036711970314153,0.024659711726882933,0.3,135
213,8.292559611242494,0.0008663725017578548,0.3,136
129,5.022254412442638,0.004609682037037756,0.3,137
125,4.866525593452168,0.005119999999999996,0.3,138
357,13.898797094899392,0.00015490875039628484,0.3,139
398,15.495017489551703,0.00010781845330475544,0.3,140
224,8.720813863466285,0.0007325039032342193,0.3,141
248,9.655186777409101,0.000521752335288993,0.3,142
87,3.387101813042709,0.01713585698648385,0.3,143
462,17.986678593399212,6.558886050147751e-05,0.3,144
184,7.163525673561591,0.001411163260016203,0.3,145
213,8.292559611242494,0.0008663725017578548,0.3,146
18,0.7007796854571122,3.271359860977742,0.3,147
263,10.239169848623362,0.000428993629191667,0.3,148
208,8.097898587504407,0.0009377611165371479,0.3,149
179,6.968864649823504,0.0015468916709911371,0.3,150
295,11.485000400547117,0.00029257010736213874,0.3,151
313,12.185780086004229,0.0002401534771882137,0.3,152
259,10.083441029632892,0.000451478899122445,0.3,153
292,11.368203786304264,0.00030271027748097546,0.3,154
244,9.499457958418631,0.000550812663703705,0.3,155
201,7.8253731542710865,0.0010511139814905833,0.3,156
408,15.884339537027877,9.925890062231815e-05,0.3,157
90,3.503898427285561,0.015304822818522383,0.3,158
121,4.7107967744616985,0.00570626719129553,0.3,159
447,17.402695522184953,7.321694332190304e-05,0.3,160
335,13.042288590451811,0.0001914934752600198,0.3,161
269,10.472763077109066,0.00039791997227028186,0.3,162
418,16.27366158450405,9.15620972553535e-05,0.3,163
333,12.964424180956575,0.00019535411299533261,0.3,164
295,11.485000400547117,0.00029257010736213874,0.3,165
252,9.810915596399571,0.0004946540110839348,0.3,166
173,6.7352714213378,0.0017330708886589413,0.3,167
307,11.952186857518525,0.00025615848895986363,0.3,168
450,17.519492136427804,7.160251744250316e-05,0.3,169
66,2.569525513342745,0.04303517293805413,0.3,170
294,11.4460681957995,0.00029590041184558095,0.3,171
396,15.417153080056469,0.0001096442979822944,0.3,172
363,14.132390323385096,0.00014653721079784757,0.3,173
249,9.694118982156718,0.0005148003664194428,0.3,174
322,12.536169928732784,0.00021849949221188148,0.3,175
158,6.15128835012354,0.002344839102729788,0.3,176
85,3.309237403547474,0.018517126151239176,0.3,177
299,11.640729219537587,0.00027972591937697384,0.3,178
103,4.010017089004586,0.009761410768775174,0.3,179
226,8.798678272961519,0.0007111183309086337,0.3,180
287,11.173542762566179,0.0003206493386860128,0.3,181
291,11.329271581556647,0.00030619167205891046,0.3,182
289,11.251407172061413,0.0003133121199446674,0.3,183
223,8.681881658718668,0.0007435105366646763,0.3,184
382,14.872102213589825,0.00012362096458443786,0.3,185
264,10.27810205337098,0.00042360093961344206,0.3,186
276,10.745288510342387,0.00036526360192703556,0.3,187
219,8.526152839728198,0.0007897499762843546,0.3,188
325,12.652966542975637,0.00021184853630576634,0.3,189
310,12.068983471761376,0.0002479882048910111,0.3,190
23,0.8954407091951989,1.4450311782565923,0.3,191
232,9.032271501447223,0.0006516434806067864,0.3,192
422,16.42939040349452,8.870099695862384e-05,0.3,193
62,2.4137966943522753,0.05300673317789519,0.3,194
416,16.195797175008813,9.303768643037136e-05,0.3,195
61,2.374864489604658,0.05595907851524272,0.3,196
315,12.263644495499463,0.00023510840671733387,0.3,197
53,2.063406851623719,0.08940952184894786,0.3,198
344,13.392678433180366,0.00017529728740588868,0.3,199
472,18.376000640875386,6.107029373851025e-05,0.3,200
135,5.255847640928342,0.003961479772003406,0.3,201
86,3.3481696082950916,0.01780909429985789,0.3,202
277,10.784220715090004,0.00036088661450381273,0.3,203
32,1.245830551923755,0.48062173839373495,0.3,204
169,6.579542602347331,0.0018736177364325245,0.3,205
318,12.380441109742316,0.00022779609298123483,0.3,206
287,11.173542762566179,0.0003206493386860128,0.3,207
267,10.39489866761383,0.0004079426691359345,0.3,208
249,9.694118982156718,0.0005148003664194428,0.3,209
